datetime,user_id,event_name,page,product_id,order_id,revenue
2024-01-21 19:12:00,1,view,main_page,,,
2024-01-21 19:12:46,1,add,recommendations,390,,
2024-01-21 19:12:51,1,view,cart,,,
2024-01-21 19:12:54,1,purchase,cart,390,100000,673.78
2024-01-05 22:55:00,2,view,search,,,
2024-01-09 02:00:00,3,view,search,,,
2024-01-05 05:02:00,3,view,main_page,,,
2024-01-19 16:20:00,3,view,main_page,,,
2024-01-19 16:20:51,3,click,pdp,260,,
2024-01-02 07:38:00,3,view,search,,,
2024-01-18 11:00:00,3,click,pdp,251,,
2024-01-18 11:00:16,3,add,pdp,251,,
2024-01-18 11:00:31,3,view,cart,,,
2024-01-18 11:00:46,3,purchase,cart,251,100001,326.12
2024-01-18 01:17:00,4,view,catalog,,,
2024-01-18 01:17:34,4,click,pdp,166,,
2024-01-18 01:17:49,4,add,pdp,166,,
2024-01-20 23:04:00,4,view,search,,,
2024-01-20 23:04:13,4,click,pdp,43,,
2024-01-20 23:04:32,4,add,pdp,43,,
2024-01-20 23:04:48,4,view,cart,,,
2024-01-20 23:05:05,4,purchase,cart,43,100002,46.53
2024-01-04 23:24:00,4,click,pdp,160,,
2024-01-04 23:24:26,4,add,pdp,160,,
2024-01-04 23:24:31,4,view,cart,,,
2024-01-04 23:24:54,4,purchase,cart,160,100003,610.68
2024-01-26 13:33:00,5,view,main_page,,,
2024-01-26 13:33:27,5,click,pdp,249,,
2024-01-26 13:33:49,5,add,pdp,249,,
2024-01-29 19:14:00,5,view,search,,,
2024-01-29 19:14:14,5,click,pdp,471,,
2024-01-14 23:50:00,5,view,catalog,,,
2024-01-28 12:17:00,5,view,catalog,,,
2024-01-28 12:17:15,5,click,pdp,119,,
2024-01-28 12:17:25,5,add,pdp,119,,
2024-01-28 12:17:42,5,view,cart,,,
2024-01-28 12:18:09,5,purchase,cart,119,100004,906.26
2024-01-25 03:09:00,6,view,search,,,
2024-01-25 03:09:47,6,click,pdp,470,,
2024-01-25 03:09:55,6,add,pdp,470,,
2024-01-25 03:10:07,6,view,cart,,,
2024-01-25 03:10:45,6,purchase,cart,470,100005,910.82
2024-01-27 12:05:00,7,click,pdp,277,,
2024-01-27 12:05:23,7,add,pdp,277,,
2024-01-27 12:05:34,7,view,cart,,,
2024-01-27 12:06:05,7,purchase,cart,277,100006,695.75
2024-01-09 22:02:00,7,view,main_page,,,
2024-01-11 03:14:00,8,add,pdp,486,,
2024-01-11 03:14:02,8,view,cart,,,
2024-01-11 03:14:11,8,purchase,cart,486,100007,893.71
2024-01-12 04:05:00,8,view,catalog,,,
2024-01-12 04:05:20,8,click,pdp,113,,
2024-01-04 12:42:00,9,view,search,,,
2024-01-04 12:42:56,9,click,pdp,407,,
2024-01-04 12:42:58,9,add,pdp,407,,
2024-01-04 12:43:00,9,view,cart,,,
2024-01-04 12:43:38,9,purchase,cart,407,100008,316.68
2024-01-11 14:23:00,9,view,search,,,
2024-01-28 07:10:00,9,view,recommendations,,,
2024-01-27 13:25:00,10,view,search,,,
2024-01-27 13:25:25,10,click,pdp,328,,
2024-01-29 05:32:00,10,view,main_page,,,
2024-01-29 05:32:25,10,click,pdp,495,,
2024-01-29 05:32:39,10,add,pdp,495,,
2024-01-29 05:32:47,10,view,cart,,,
2024-01-29 05:32:54,10,purchase,cart,495,100009,551.58
2024-01-19 07:41:00,10,view,main_page,,,
2024-01-19 07:41:33,10,click,pdp,231,,
2024-01-19 07:42:02,10,add,pdp,231,,
2024-01-27 22:32:00,10,view,search,,,
2024-01-01 21:37:00,10,view,recommendations,,,
2024-01-01 21:37:45,10,click,pdp,184,,
2024-01-01 21:37:53,10,add,pdp,184,,
2024-01-01 21:38:08,10,view,cart,,,
2024-01-01 21:38:11,10,purchase,cart,184,100010,707.14
2024-01-08 05:05:00,11,view,search,,,
2024-01-08 05:05:46,11,click,pdp,218,,
2024-01-15 07:42:00,11,view,recommendations,,,
2024-01-10 16:27:00,12,view,catalog,,,
2024-01-10 16:27:29,12,add,catalog,297,,
2024-01-10 16:27:30,12,view,cart,,,
2024-01-10 16:27:52,12,purchase,cart,297,100011,668.97
2024-01-22 22:56:00,12,add,catalog,424,,
2024-01-10 19:56:00,12,view,catalog,,,
2024-01-10 19:56:52,12,add,catalog,75,,
2024-01-10 19:57:10,12,view,cart,,,
2024-01-10 19:57:38,12,purchase,cart,75,100012,696.22
2024-01-27 11:58:00,12,view,main_page,,,
2024-01-27 11:58:07,12,click,pdp,344,,
2024-01-27 11:58:36,12,add,pdp,344,,
2024-01-27 11:58:54,12,view,cart,,,
2024-01-27 11:59:02,12,purchase,cart,344,100013,523.12
2024-01-17 19:53:00,12,view,main_page,,,
2024-01-17 19:53:40,12,click,pdp,257,,
2024-01-17 19:54:03,12,add,pdp,257,,
2024-01-17 19:54:22,12,view,cart,,,
